Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0122936582	293.200196	293.200196	293.200196	293.200196	0	0	0	0	0	0	3
2	4	0	0.0245873164	293.200252	293.200224	293.200196	293.200252	2.80332633e-05	0	0	0	0	0	3
3	4	0	0.0368809745	293.20028	293.200242	293.200196	293.20028	4.67631664e-05	0	0	0	0	0	3
4	5	0	0.0491746327	293.200303	293.200258	293.200196	293.200303	6.19831541e-05	0	0	0	0	0	3
5	5	0	0.0614682909	293.200323	293.200271	293.200196	293.200323	7.49828097e-05	0	0	0	0	0	3
6	5	0	0.0737619491	293.200356	293.200285	293.200196	293.200356	8.9204266e-05	0	0	0	0	0	3
7	6	0	0.0860556072	293.200392	293.2003	293.200196	293.200392	0.000104512369	0	0	0	0	0	3
8	6	0	0.0983492654	293.200428	293.200316	293.200196	293.200428	0.000120525364	0	0	0	0	0	3
9	6	0	0.110642924	293.200463	293.200332	293.200196	293.200463	0.000136834916	0	0	0	0	0	3
10	7	0	0.122936582	293.200497	293.200349	293.200196	293.200497	0.000153287037	0	0	0	0	0	3
11	7	0	0.13523024	293.20055	293.200367	293.200196	293.20055	0.000171558604	0	0	0	0	0	3
12	8	0	0.147523898	293.200602	293.200387	293.200196	293.200602	0.000191167425	0	0	0	0	0	3
13	8	0	0.159817556	293.200654	293.200407	293.200196	293.200654	0.000211742523	0	0	0	0	0	3
14	8	0	0.172111214	293.200705	293.200429	293.200196	293.200705	0.000232999083	0	0	0	0	0	3
15	9	0	0.184404873	293.200754	293.20045	293.200196	293.200754	0.000254677107	0	0	0	0	0	3
16	9	0	0.196698531	293.200826	293.200474	293.200196	293.200826	0.000278161539	0	0	0	0	0	3
17	9	0	0.208992189	293.200894	293.200498	293.200196	293.200894	0.000302870082	0	0	0	0	0	3
18	10	0	0.221285847	293.200957	293.200524	293.200196	293.200957	0.00032832341	0	0	0	0	0	3
19	10	0	0.233579505	293.201015	293.20055	293.200196	293.201015	0.000354183757	0	0	0	0	0	3
20	11	0	0.245873164	293.201068	293.200576	293.200196	293.201068	0.000380103969	0	0	0	0	0	3
21	11	0	0.258166822	293.201141	293.200603	293.200196	293.201141	0.000407000474	0	0	0	0	0	3
22	12	0	0.27046048	293.201202	293.20063	293.200196	293.201202	0.000434249595	0	0	0	0	0	3
23	12	0	0.282754138	293.201252	293.200657	293.200196	293.201252	0.000461315545	0	0	0	0	0	3
24	12	0	0.295047796	293.201292	293.200683	293.200196	293.201292	0.000487779786	0	0	0	0	0	3
25	13	0	0.307341454	293.201321	293.200709	293.200196	293.201321	0.000513281753	0	0	0	0	0	3
26	13	0	0.319635113	293.201353	293.200734	293.200196	293.201353	0.000538051657	0	0	0	0	0	3
27	13	0	0.331928771	293.201374	293.200757	293.200196	293.201374	0.000561758921	0	0	0	0	0	3
28	14	0	0.344222429	293.201389	293.20078	293.200196	293.201389	0.00058430505	0	0	0	0	0	3
29	14	0	0.356516087	293.201395	293.200801	293.200196	293.201395	0.000605531849	0	0	0	0	0	3
