Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0122936582
2	3	0	0.0245873164
3	3	0	0.0368809745
4	3	0	0.0491746327
5	4	0	0.0614682909
6	4	0	0.0737619491
7	5	0	0.0860556072
8	5	0	0.0983492654
9	5	0	0.110642924
10	6	0	0.122936582
11	6	0	0.13523024
12	6	0	0.147523898
13	7	0	0.159817556
14	7	0	0.172111214
15	8	0	0.184404873
16	8	0	0.196698531
17	8	0	0.208992189
18	9	0	0.221285847
19	9	0	0.233579505
20	10	0	0.245873164
21	10	0	0.258166822
22	10	0	0.27046048
23	11	0	0.282754138
24	11	0	0.295047796
25	12	0	0.307341454
26	12	0	0.319635113
27	12	0	0.331928771
28	13	0	0.344222429
29	13	0	0.356516087
30	13	0	0.368809745
31	14	0	0.381103404
32	14	0	0.393397062
33	15	0	0.40569072
34	15	0	0.417984378
35	16	0	0.430278036
36	16	0	0.442571694
37	16	0	0.454865353
38	17	0	0.467159011
39	17	0	0.479452669
40	18	0	0.491746327
41	18	0	0.504039985
42	18	0	0.516333643
43	19	0	0.528627302
44	19	0	0.54092096
45	19	0	0.553214618
46	20	0	0.565508276
47	20	0	0.577801934
48	21	0	0.590095593
49	21	0	0.602389251
50	21	0	0.614682909
51	22	0	0.626976567
52	22	0	0.639270225
53	22	0	0.651563883
54	23	0	0.663857542
55	23	0	0.6761512
56	23	0	0.688444858
57	24	0	0.700738516
58	24	0	0.713032174
59	24	0	0.725325833
60	25	0	0.737619491
61	25	0	0.749913149
62	25	0	0.762206807
63	26	0	0.774500465
64	26	0	0.786794123
65	27	0	0.799087782
66	27	0	0.81138144
67	27	0	0.823675098
68	28	0	0.835968756
69	28	0	0.848262414
70	28	0	0.860556072
71	29	0	0.872849731
72	29	0	0.885143389
73	30	0	0.897437047
74	30	0	0.909730705
75	30	0	0.922024363
76	31	0	0.934318022
77	31	0	0.94661168
78	31	0	0.958905338
79	32	0	0.971198996
80	32	0	0.983492654
81	32	0	0.995786312
82	33	0	1.00807997
83	33	0	1.02037363
84	34	0	1.03266729
85	34	0	1.04496095
86	34	0	1.0572546
87	35	0	1.06954826
88	35	0	1.08184192
89	36	0	1.09413558
90	36	0	1.10642924
91	36	0	1.11872289
92	37	0	1.13101655
93	37	0	1.14331021
94	38	0	1.15560387
95	38	0	1.16789753
96	38	0	1.18019119
97	39	0	1.19248484
98	39	0	1.2047785
99	40	0	1.21707216
100	40	0	1.22936582
101	41	0	1.24165948
102	41	0	1.25395313
103	42	0	1.26624679
104	42	0	1.27854045
105	42	0	1.29083411
106	43	0	1.30312777
107	43	0	1.31542143
108	44	0	1.32771508
109	44	0	1.34000874
110	44	0	1.3523024
111	45	0	1.36459606
112	45	0	1.37688972
113	45	0	1.38918337
114	46	0	1.40147703
115	46	0	1.41377069
116	46	0	1.42606435
117	47	0	1.43835801
118	47	0	1.45065167
119	47	0	1.46294532
120	48	0	1.47523898
121	48	0	1.48753264
122	48	0	1.4998263
123	49	0	1.51211996
124	49	0	1.52441361
125	50	0	1.53670727
126	50	0	1.54900093
127	50	0	1.56129459
128	51	0	1.57358825
129	51	0	1.58588191
130	51	0	1.59817556
131	52	0	1.61046922
132	52	0	1.62276288
133	52	0	1.63505654
