Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0122936582	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0245873164	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0368809745	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0491746327	0	0	0	0	0	0	0	0	0	0	3
5	3	0	0.0614682909	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0737619491	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.0860556072	0	0	0	0	0	0	0	0	0	0	3
8	4	0	0.0983492654	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.110642924	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.122936582	0	0	0	0	0	0	0	0	0	0	3
11	6	0	0.13523024	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.147523898	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.159817556	0	0	0	0	0	0	0	0	0	0	3
14	7	0	0.172111214	0	0	0	0	0	0	0	0	0	0	3
15	7	0	0.184404873	0	0	0	0	0	0	0	0	0	0	3
16	7	0	0.196698531	0	0	0	0	0	0	0	0	0	0	3
17	8	0	0.208992189	0	0	0	0	0	0	0	0	0	0	3
18	8	0	0.221285847	0	0	0	0	0	0	0	0	0	0	3
19	8	0	0.233579505	0	0	0	0	0	0	0	0	0	0	3
20	9	0	0.245873164	0	0	0	0	0	0	0	0	0	0	3
21	9	0	0.258166822	0	0	0	0	0	0	0	0	0	0	3
22	9	0	0.27046048	0	0	0	0	0	0	0	0	0	0	3
23	10	0	0.282754138	0	0	0	0	0	0	0	0	0	0	3
24	10	0	0.295047796	0	0	0	0	0	0	0	0	0	0	3
25	10	0	0.307341454	0	0	0	0	0	0	0	0	0	0	3
26	11	0	0.319635113	0	0	0	0	0	0	0	0	0	0	3
27	11	0	0.331928771	0	0	0	0	0	0	0	0	0	0	3
28	12	0	0.344222429	0	0	0	0	0	0	0	0	0	0	3
29	12	0	0.356516087	0	0	0	0	0	0	0	0	0	0	3
30	12	0	0.368809745	0	0	0	0	0	0	0	0	0	0	3
31	13	0	0.381103404	0	0	0	0	0	0	0	0	0	0	3
32	13	0	0.393397062	0	0	0	0	0	0	0	0	0	0	3
33	14	0	0.40569072	0	0	0	0	0	0	0	0	0	0	3
34	14	0	0.417984378	0	0	0	0	0	0	0	0	0	0	3
35	15	0	0.430278036	0	0	0	0	0	0	0	0	0	0	3
36	15	0	0.442571694	0	0	0	0	0	0	0	0	0	0	3
37	15	0	0.454865353	0	0	0	0	0	0	0	0	0	0	3
38	16	0	0.467159011	0	0	0	0	0	0	0	0	0	0	3
39	16	0	0.479452669	0	0	0	0	0	0	0	0	0	0	3
40	16	0	0.491746327	0	0	0	0	0	0	0	0	0	0	3
41	17	0	0.504039985	0	0	0	0	0	0	0	0	0	0	3
42	17	0	0.516333643	0	0	0	0	0	0	0	0	0	0	3
43	18	0	0.528627302	0	0	0	0	0	0	0	0	0	0	3
44	18	0	0.54092096	0	0	0	0	0	0	0	0	0	0	3
45	18	0	0.553214618	0	0	0	0	0	0	0	0	0	0	3
46	19	0	0.565508276	0	0	0	0	0	0	0	0	0	0	3
47	19	0	0.577801934	0	0	0	0	0	0	0	0	0	0	3
48	19	0	0.590095593	0	0	0	0	0	0	0	0	0	0	3
49	20	0	0.602389251	0	0	0	0	0	0	0	0	0	0	3
50	20	0	0.614682909	0	0	0	0	0	0	0	0	0	0	3
