Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0122936582	101325.17	101325.17	101325.17	101325.17	0	0	0	0	0	0	3
2	2	0	0.0245873164	101325.042	101325.106	101325.042	101325.17	0.063946507	0	0	0	0	0	3
3	3	0	0.0368809745	101325.008	101325.073	101325.008	101325.17	0.0965002078	0	0	0	0	0	3
4	3	0	0.0491746327	101325.036	101325.064	101325.008	101325.17	0.105914282	0	0	0	0	0	3
5	3	0	0.0614682909	101325.006	101325.052	101325.006	101325.17	0.11751061	0	0	0	0	0	3
6	4	0	0.0737619491	101325.023	101325.047	101325.006	101325.17	0.12238843	0	0	0	0	0	3
7	4	0	0.0860556072	101325.012	101325.042	101325.006	101325.17	0.127517649	0	0	0	0	0	3
8	4	0	0.0983492654	101325.013	101325.039	101325.006	101325.17	0.131196022	0	0	0	0	0	3
9	5	0	0.110642924	101325.007	101325.035	101325.006	101325.17	0.134667112	0	0	0	0	0	3
10	5	0	0.122936582	101325.005	101325.032	101325.005	101325.17	0.137722916	0	0	0	0	0	3
11	6	0	0.13523024	101325.002	101325.029	101325.002	101325.17	0.140501149	0	0	0	0	0	3
12	6	0	0.147523898	101324.994	101325.026	101324.994	101325.17	0.143413579	0	0	0	0	0	3
13	6	0	0.159817556	101324.991	101325.024	101324.991	101325.17	0.146146694	0	0	0	0	0	3
14	7	0	0.172111214	101324.982	101325.021	101324.982	101325.17	0.149101921	0	0	0	0	0	3
15	7	0	0.184404873	101324.978	101325.018	101324.978	101325.17	0.151986782	0	0	0	0	0	3
16	7	0	0.196698531	101324.971	101325.015	101324.971	101325.17	0.154946587	0	0	0	0	0	3
17	8	0	0.208992189	101324.962	101325.012	101324.962	101325.17	0.158074921	0	0	0	0	0	3
18	8	0	0.221285847	101324.952	101325.008	101324.952	101325.17	0.161425014	0	0	0	0	0	3
19	8	0	0.233579505	101324.942	101325.005	101324.942	101325.17	0.164898021	0	0	0	0	0	3
20	9	0	0.245873164	101324.931	101325.001	101324.931	101325.17	0.168582407	0	0	0	0	0	3
21	9	0	0.258166822	101324.922	101324.998	101324.922	101325.17	0.172338853	0	0	0	0	0	3
22	9	0	0.27046048	101324.908	101324.993	101324.908	101325.17	0.17641385	0	0	0	0	0	3
23	10	0	0.282754138	101324.895	101324.989	101324.895	101325.17	0.180689962	0	0	0	0	0	3
24	10	0	0.295047796	101324.883	101324.985	101324.883	101325.17	0.185111075	0	0	0	0	0	3
25	10	0	0.307341454	101324.873	101324.98	101324.873	101325.17	0.189583497	0	0	0	0	0	3
26	11	0	0.319635113	101324.867	101324.976	101324.867	101325.17	0.193933509	0	0	0	0	0	3
27	11	0	0.331928771	101324.865	101324.972	101324.865	101325.17	0.198025032	0	0	0	0	0	3
28	12	0	0.344222429	101324.867	101324.968	101324.865	101325.17	0.201755753	0	0	0	0	0	3
29	12	0	0.356516087	101324.874	101324.965	101324.865	101325.17	0.205013842	0	0	0	0	0	3
30	12	0	0.368809745	101324.882	101324.962	101324.865	101325.17	0.207759564	0	0	0	0	0	3
31	13	0	0.381103404	101324.89	101324.96	101324.865	101325.17	0.210073605	0	0	0	0	0	3
32	13	0	0.393397062	101324.898	101324.958	101324.865	101325.17	0.212003304	0	0	0	0	0	3
33	14	0	0.40569072	101324.904	101324.956	101324.865	101325.17	0.213650443	0	0	0	0	0	3
34	14	0	0.417984378	101324.907	101324.955	101324.865	101325.17	0.215099607	0	0	0	0	0	3
35	15	0	0.430278036	101324.908	101324.953	101324.865	101325.17	0.216443487	0	0	0	0	0	3
36	15	0	0.442571694	101324.908	101324.952	101324.865	101325.17	0.217699615	0	0	0	0	0	3
37	15	0	0.454865353	101324.908	101324.951	101324.865	101325.17	0.218885757	0	0	0	0	0	3
38	16	0	0.467159011	101324.911	101324.95	101324.865	101325.17	0.219941597	0	0	0	0	0	3
39	16	0	0.479452669	101324.914	101324.949	101324.865	101325.17	0.220870504	0	0	0	0	0	3
40	16	0	0.491746327	101324.916	101324.948	101324.865	101325.17	0.221697441	0	0	0	0	0	3
41	17	0	0.504039985	101324.917	101324.947	101324.865	101325.17	0.22246066	0	0	0	0	0	3
42	17	0	0.516333643	101324.918	101324.941	101324.865	101325.042	0.164669109	0	0	0	0	0	3
43	18	0	0.528627302	101324.919	101324.938	101324.865	101325.036	0.135111771	0	0	0	0	0	3
44	18	0	0.54092096	101324.921	101324.936	101324.865	101325.036	0.127832454	0	0	0	0	0	3
